id,Date,Consumption,Wind,Solar,Wind+Solar
0,1/1/2006,1069.184,,,
1,1/2/2006,1380.521,,,
2,1/3/2006,1442.533,,,
3,1/4/2006,1457.217,,,
4,1/5/2006,1477.131,,,
5,1/6/2006,1403.427,,,
6,1/7/2006,1300.287,,,
7,1/8/2006,1207.985,,,
8,1/9/2006,1529.323,,,
9,1/10/2006,1576.911,,,
10,1/11/2006,1577.176,,,
11,1/12/2006,1553.28,,,
12,1/13/2006,1545.002,,,
13,1/14/2006,1359.945,,,
14,1/15/2006,1265.475,,,
15,1/16/2006,1563.738,,,
16,1/17/2006,1598.303,,,
17,1/18/2006,1572.984,,,
18,1/19/2006,1558.29,,,
19,1/20/2006,1540.604,,,
20,1/21/2006,1348.188,,,
21,1/22/2006,1248.111,,,
22,1/23/2006,1569.691,,,
23,1/24/2006,1603.252,,,
24,1/25/2006,1613.312,,,
25,1/26/2006,1601.673,,,
26,1/27/2006,1586.065,,,
27,1/28/2006,1373.03,,,
28,1/29/2006,1252.215,,,
29,1/30/2006,1554.722,,,
30,1/31/2006,1575.129,,,
31,2/1/2006,1582.134,,,
32,2/2/2006,1595.717,,,
33,2/3/2006,1577.786,,,
34,2/4/2006,1366.322,,,
35,2/5/2006,1258.013,,,
36,2/6/2006,1557.525,,,
37,2/7/2006,1606.667,,,
38,2/8/2006,1590.896,,,
39,2/9/2006,1599.129,,,
40,2/10/2006,1554.631,,,
41,2/11/2006,1346.104,,,
42,2/12/2006,1232.568,,,
43,2/13/2006,1521.456,,,
44,2/14/2006,1551.373,,,
45,2/15/2006,1562.656,,,
46,2/16/2006,1523.719,,,
47,2/17/2006,1495.913,,,
48,2/18/2006,1297.385,,,
49,2/19/2006,1173.05,,,
50,2/20/2006,1501.246,,,
51,2/21/2006,1544.112,,,
52,2/22/2006,1543.107,,,
53,2/23/2006,1523.491,,,
54,2/24/2006,1507.235,,,
55,2/25/2006,1309.603,,,
56,2/26/2006,1204.766,,,
57,2/27/2006,1444.899,,,
58,2/28/2006,1507.49,,,
59,3/1/2006,1531.173,,,
60,3/2/2006,1539.951,,,
61,3/3/2006,1510.884,,,
62,3/4/2006,1323.303,,,
63,3/5/2006,1220.395,,,
64,3/6/2006,1502.191,,,
65,3/7/2006,1514.012,,,
66,3/8/2006,1545.834,,,
67,3/9/2006,1498.444,,,
68,3/10/2006,1475.327,,,
69,3/11/2006,1320.368,,,
70,3/12/2006,1218.407,,,
71,3/13/2006,1494.832,,,
72,3/14/2006,1514.066,,,
73,3/15/2006,1518.04,,,
74,3/16/2006,1516.898,,,
75,3/17/2006,1495.324,,,
76,3/18/2006,1280.717,,,
77,3/19/2006,1160.078,,,
78,3/20/2006,1446.238,,,
79,3/21/2006,1470.34,,,
80,3/22/2006,1471.667,,,
81,3/23/2006,1456.016,,,
82,3/24/2006,1444.75,,,
83,3/25/2006,1231.067,,,
84,3/26/2006,1116.743,,,
85,3/27/2006,1400.982,,,
86,3/28/2006,1435.152,,,
87,3/29/2006,1438.405,,,
88,3/30/2006,1457.454,,,
89,3/31/2006,1429.066,,,
90,4/1/2006,1207.769,,,
91,4/2/2006,1110.026,,,
92,4/3/2006,1422.789,,,
93,4/4/2006,1436.699,,,
94,4/5/2006,1447.798,,,
95,4/6/2006,1432.853,,,
96,4/7/2006,1394.98,,,
97,4/8/2006,1195.959,,,
98,4/9/2006,1104.106,,,
99,4/10/2006,1408.169,,,
100,4/11/2006,1419.301,,,
101,4/12/2006,1425.712,,,
102,4/13/2006,1415.542,,,
103,4/14/2006,1118.396,,,
104,4/15/2006,1086.018,,,
105,4/16/2006,986.875,,,
106,4/17/2006,1009.094,,,
107,4/18/2006,1349.563,,,
108,4/19/2006,1368.456,,,
109,4/20/2006,1362.217,,,
110,4/21/2006,1333.266,,,
111,4/22/2006,1152.943,,,
112,4/23/2006,1042.414,,,
113,4/24/2006,1345.851,,,
114,4/25/2006,1359.806,,,
115,4/26/2006,1374.322,,,
116,4/27/2006,1384.681,,,
117,4/28/2006,1362.57,,,
118,4/29/2006,1167.24,,,
119,4/30/2006,1026.352,,,
120,5/1/2006,986.698,,,
121,5/2/2006,1329.821,,,
122,5/3/2006,1348.188,,,
123,5/4/2006,1348.343,,,
124,5/5/2006,1330.52,,,
125,5/6/2006,1115.442,,,
126,5/7/2006,998.308,,,
127,5/8/2006,1321.782,,,
128,5/9/2006,1353.229,,,
129,5/10/2006,1351.4,,,
130,5/11/2006,1337.502,,,
131,5/12/2006,1320.006,,,
132,5/13/2006,1123.926,,,
133,5/14/2006,1010.284,,,
134,5/15/2006,1317.849,,,
135,5/16/2006,1360.65,,,
136,5/17/2006,1346.098,,,
137,5/18/2006,1365.406,,,
138,5/19/2006,1348.465,,,
139,5/20/2006,1175.273,,,
140,5/21/2006,1050.17,,,
141,5/22/2006,1358.082,,,
142,5/23/2006,1374.495,,,
143,5/24/2006,1339.565,,,
144,5/25/2006,1053.351,,,
145,5/26/2006,1213.465,,,
146,5/27/2006,1108.266,,,
147,5/28/2006,1065.343,,,
148,5/29/2006,1349.247,,,
149,5/30/2006,1376.794,,,
